Flow id,Src IP,Dst IP,Dst port,Protocol,Application protocol,Duration,Received bytes,Received packets,Transmitted bytes,Transmitted packets,Total bytes,Total packets,label,family
73534402825156011,10.0.2.43,142.251.36.67,443,tcp,tls,174922,23735,59,6896,57,30631,116,normal,-
-6237659494003279291,10.0.2.43,104.21.235.46,443,tcp,tls,19968,19427,40,4702,40,24129,80,normal,-
7108370099572237359,10.0.2.43,104.21.235.45,443,tcp,tls,4674,16524,36,4248,34,20772,70,normal,-
-4177341594008499910,10.0.2.43,104.91.71.23,443,tcp,tls,40558,10376,32,3166,26,13542,58,normal,-
4808862757585721300,10.0.2.43,52.17.243.237,443,tcp,tls,126794,20824,46,6238,44,27062,90,normal,-
-2753005651265854687,10.0.2.43,87.240.132.78,443,tcp,tls,92800,11040,28,3382,30,14422,58,normal,-
6322439570648802976,10.0.2.43,17.253.144.10,443,tcp,tls,596,17712,36,4984,33,22696,69,normal,-
-4918174963957250019,10.0.2.43,34.107.204.85,443,tcp,tls,80560,18177,41,4904,44,23081,85,normal,-
4783413617147083775,10.0.2.43,65.9.95.66,443,tcp,tls,91162,13024,28,3350,30,16374,58,normal,-
-824996340298560562,10.0.2.43,65.9.95.16,443,tcp,tls,92544,14870,30,3350,30,18220,60,normal,-
4755386667317244061,10.0.2.43,149.154.167.99,443,tcp,tls,92224,14322,30,3490,32,17812,62,normal,-
-2464807062457384160,10.0.2.43,65.9.95.49,443,tcp,tls,200850,114648,184,14808,142,129456,326,normal,-
4082618569460448397,10.0.2.43,91.198.174.208,443,tcp,tls,65740,39462,81,9462,75,48924,156,normal,-
-203951741741430646,10.0.2.43,104.16.124.175,443,tcp,tls,105253,204635,183,10311,116,214946,299,normal,-
-2984417996940006088,10.0.2.43,104.19.187.97,443,tcp,tls,242571,15774,64,7586,62,23360,126,normal,-
-114339465106941725,10.0.2.43,172.67.74.164,443,tcp,tls,202290,56730,210,32184,184,88914,394,normal,-
-3609780515552719588,10.0.2.43,130.117.76.5,443,tcp,tls,43452,19900,52,5816,50,25716,102,normal,-
1000798583843525017,10.0.2.43,172.64.144.98,443,tcp,tls,58272,9492,32,4056,32,13548,64,normal,-
-2093729195869530447,10.0.2.43,91.198.174.192,443,tcp,tls,65301,115778,126,9453,98,125231,224,normal,-
-5090602593082118890,10.0.2.43,65.9.9.138,80,tcp,http,509542,9751,70,6748,75,16499,145,normal,-
-7675075735840115319,10.0.2.43,13.32.121.119,443,tcp,tls,206078,1968796,1405,42384,683,2011180,2088,normal,-
-5237266283921088162,10.0.2.43,104.19.154.83,443,tcp,tls,235255,11962,42,4980,42,16942,84,normal,-
1534997699411541632,10.0.2.43,192.229.221.185,443,tcp,tls,341490,18498,44,4186,42,22684,86,normal,-
-996245241921532886,10.0.2.43,54.239.28.85,443,tcp,tls,11800,12790,22,2684,24,15474,46,normal,-
-1476406707454674375,10.0.2.43,151.101.193.140,443,tcp,tls,238340,18506,65,8840,62,27346,127,normal,-
-4583220188438729316,10.0.2.43,142.250.102.154,443,tcp,tls,1994,13790,40,5074,38,18864,78,normal,-
-4636299950736165298,10.0.2.43,65.9.95.42,443,tcp,tls,423077,29877,73,8440,73,38317,146,normal,-
3088978731794156425,10.0.2.43,157.240.20.52,443,tcp,tls,484,9370,34,4064,30,13434,64,normal,-
-6598194141577028489,10.0.2.43,104.17.25.14,443,tcp,tls,3366,39226,64,5732,54,44958,118,normal,-
7387690908167929072,10.0.2.43,142.251.36.68,443,tcp,tls,1263,12918,35,4516,36,17434,71,normal,-
-1608685304189642628,10.0.2.43,95.100.146.40,443,tcp,tls,162412,22672,64,6386,62,29058,126,normal,-
8914770609053829851,10.0.2.43,151.101.194.110,443,tcp,tls,160056,13246,42,4618,38,17864,80,normal,-
5360471253125522723,10.0.2.43,44.240.21.97,443,tcp,tls,81782,12726,46,12832,44,25558,90,normal,-
-4815389133613808680,10.0.2.43,65.9.95.23,443,tcp,tls,160204,15944,38,4630,40,20574,78,normal,-
7787343552854846140,10.0.2.43,18.211.121.97,443,tcp,tls,342754,14086,42,5004,40,19090,82,normal,-
-5386257158156058831,10.0.2.43,20.112.52.29,443,tcp,tls,161296,18314,38,3968,40,22282,78,normal,-
8287370602352721080,10.0.2.43,104.16.56.101,443,tcp,tls,163092,8758,30,3428,30,12186,60,normal,-
1163796486533108802,10.0.2.43,146.75.116.157,443,tcp,tls,157262,13198,56,6330,54,19528,110,normal,-
-8285624263776659619,10.0.2.43,142.251.36.81,443,tcp,tls,5292,18644,58,10100,52,28744,110,normal,-
6828385641918674628,10.0.2.43,147.67.34.45,443,tcp,tls,10664,7680,16,2222,18,9902,34,normal,-
2732472252200340792,10.0.2.43,65.9.95.112,443,tcp,tls,340542,15888,44,4940,44,20828,88,normal,-
-3739501553575966048,10.0.2.43,104.244.42.195,443,tcp,tls,155928,13368,50,9464,50,22832,100,normal,-
6367420325283036697,10.0.2.43,54.149.242.38,443,tcp,tls,1731932,9344,38,4996,34,14340,72,normal,-
1905750858063009916,10.0.2.43,104.26.3.11,443,tcp,tls,204530,2544684,1790,52866,914,2597550,2704,normal,-
9051021586253673608,10.0.2.43,34.254.107.23,443,tcp,tls,341722,14384,48,12746,48,27130,96,normal,-
2706622446218312593,10.0.2.43,65.9.95.11,443,tcp,tls,91984,15130,34,3566,34,18696,68,normal,-
6343973842027798707,10.0.2.43,65.9.94.226,443,tcp,tls,205438,78834,80,5046,48,83880,128,normal,-
-1095309447004003152,10.0.2.43,104.16.57.101,443,tcp,tls,81137,15075,66,20476,63,35551,129,normal,-
8600223216866499780,10.0.2.43,142.251.36.136,443,tcp,tls,341852,12800,36,3830,36,16630,72,normal,-
-2644306164618168513,10.0.2.43,104.17.213.204,443,tcp,tls,157836,12080,34,4310,34,16390,68,normal,-
580326883815702486,10.0.2.43,104.16.89.20,443,tcp,tls,1542,27178,42,4152,34,31330,76,normal,-
5384076910760579758,10.0.2.43,104.17.68.176,443,tcp,tls,157808,53220,64,4828,46,58048,110,normal,-
-1001624257340444123,10.0.2.43,95.100.146.59,443,tcp,tls,40632,10266,30,3058,24,13324,54,normal,-
-7187922308475047010,10.0.2.43,172.64.154.85,443,tcp,tls,157860,11284,34,4140,32,15424,66,normal,-
238434072981476276,10.0.2.43,2.16.2.209,443,tcp,tls,180801,19716,66,7181,56,26897,122,normal,-
7625428176137485301,10.0.2.43,20.190.159.0,443,tcp,tls,232582,24704,54,5378,50,30082,104,normal,-
5624300740346356637,10.0.2.43,34.251.201.224,443,tcp,tls,43156,29280,52,4854,44,34134,96,normal,-
8989754657368150870,10.0.2.43,104.17.231.204,443,tcp,tls,157542,12834,54,6202,54,19036,108,normal,-
3536506429420748002,10.0.2.43,162.159.128.233,443,udp,-,2444,23108,60,48842,76,71950,136,normal,-
1827143082908451018,10.0.2.43,35.167.176.94,443,tcp,tls,77512,30724,152,56114,150,86838,302,normal,-
-996698685167091974,10.0.2.43,142.250.102.157,443,udp,-,847,9268,35,7556,20,16824,55,normal,-
-8186184440832566196,10.0.2.43,142.251.36.136,443,udp,-,334,87038,72,4928,22,91966,94,normal,-
8768706515582722999,10.0.2.43,104.21.235.45,443,udp,-,306,6736,14,3738,10,10474,24,normal,-
