type,key,value,reliability,validity,details
ip_dependency_server,10.100.50.144,10.99.28.25,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:19""]","{""src"": ""dependency_mapping"", ""port"": ""443"", ""num_packets"": 469}"
ip_dependency_client,10.99.28.25,10.100.50.144,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:19""]","{""src"": ""dependency_mapping"", ""port"": ""443"", ""num_packets"": 469}"
ip_dependency_server,192.168.55.100,192.168.3.70,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:12""]","{""src"": ""dependency_mapping"", ""port"": ""9080"", ""num_packets"": 50}"
ip_dependency_client,192.168.3.70,192.168.55.100,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:12""]","{""src"": ""dependency_mapping"", ""port"": ""9080"", ""num_packets"": 50}"
ip_dependency_server,52.1.34.202,10.100.42.53,1,"[""2023-03-10 18:25:57"",""2023-03-10 18:25:57""]","{""src"": ""dependency_mapping"", ""port"": ""80"", ""num_packets"": 157}"
ip_dependency_client,10.100.42.53,52.1.34.202,1,"[""2023-03-10 18:25:57"",""2023-03-10 18:25:57""]","{""src"": ""dependency_mapping"", ""port"": ""80"", ""num_packets"": 157}"
ip_dependency_server,10.100.32.149,10.100.30.242,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""2222"", ""num_packets"": 279}"
ip_dependency_client,10.100.30.242,10.100.32.149,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""2222"", ""num_packets"": 279}"
ip_dependency_server,10.100.33.29,10.100.30.242,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""666"", ""num_packets"": 306}"
ip_dependency_client,10.100.30.242,10.100.33.29,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""666"", ""num_packets"": 306}"
ip_dependency_server,10.100.40.24,10.100.40.22,1,"[""2023-03-10 18:26:03"",""2023-03-10 18:26:13""]","{""src"": ""dependency_mapping"", ""port"": ""2210"", ""num_packets"": 20}"
ip_dependency_client,10.100.40.22,10.100.40.24,1,"[""2023-03-10 18:26:03"",""2023-03-10 18:26:13""]","{""src"": ""dependency_mapping"", ""port"": ""2210"", ""num_packets"": 20}"
ip_dependency_server,192.168.55.117,192.168.3.70,1,"[""2023-03-10 18:26:00"",""2023-03-10 18:26:10""]","{""src"": ""dependency_mapping"", ""port"": ""9080"", ""num_packets"": 50}"
ip_dependency_client,192.168.3.70,192.168.55.117,1,"[""2023-03-10 18:26:00"",""2023-03-10 18:26:10""]","{""src"": ""dependency_mapping"", ""port"": ""9080"", ""num_packets"": 50}"
ip_dependency_server,10.100.32.22,10.100.30.242,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""514"", ""num_packets"": 306}"
ip_dependency_client,10.100.30.242,10.100.32.22,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""514"", ""num_packets"": 306}"
ip_dependency_server,10.100.33.138,10.100.30.242,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""666"", ""num_packets"": 306}"
