App,Jas3,Host,Sni,Subject
,579CCEF312D18482FC42E2B822CA2430,bidder.criteo.com,bidder.criteo.com,
firefox,579CCEF312D18482FC42E2B822CA2430,recommend.aktualne.cz,recommend.aktualne.cz,
firefox,579CCEF312D18482FC42E2B822CA2430,fastlane.rubiconproject.com,fastlane.rubiconproject.com,
,579CCEF312D18482FC42E2B822CA2430,e6603.g.akamaiedge.net,ads.pubmatic.com,*.pubmatic.com
,579CCEF312D18482FC42E2B822CA2430,optimized-by.rubiconproject.com,optimized-by.rubiconproject.com,*.rubiconproject.com
,579CCEF312D18482FC42E2B822CA2430,fastlane.rubiconproject.com,fastlane.rubiconproject.com,
,579CCEF312D18482FC42E2B822CA2430,optimized-by.rubiconproject.com,optimized-by.rubiconproject.com,*.rubiconproject.com
,579CCEF312D18482FC42E2B822CA2430,bidder.criteo.com,bidder.criteo.com,
,579CCEF312D18482FC42E2B822CA2430,showads-amsc.pubmnet.com,vid.pubmatic.com,*.pubmatic.com
,579CCEF312D18482FC42E2B822CA2430,htlb.casalemedia.com,htlb.casalemedia.com,
,,apis.google.com,,
,579CCEF312D18482FC42E2B822CA2430,ssp.seznam.cz,ssp.seznam.cz,
,579CCEF312D18482FC42E2B822CA2430,api.caroda.io,data.caroda.io,
,579CCEF312D18482FC42E2B822CA2430,s0.2mdn.net,s0.2mdn.net,
,579CCEF312D18482FC42E2B822CA2430,optimized-by.rubiconproject.com,optimized-by.rubiconproject.com,*.rubiconproject.com
,,fonts.googleapis.com,,
,579CCEF312D18482FC42E2B822CA2430,prebid-server.rubiconproject.com,prebid-server.rubiconproject.com,*.rubiconproject.com
,579CCEF312D18482FC42E2B822CA2430,prebid-server.rubiconproject.com,prebid-server.rubiconproject.com,*.rubiconproject.com
firefox,579CCEF312D18482FC42E2B822CA2430,dmp.adform.net,dmp.adform.net,track.adform.net
,579CCEF312D18482FC42E2B822CA2430,fonts.googleapis.com,imasdk.googleapis.com,
,,apis.google.com,,
,579CCEF312D18482FC42E2B822CA2430,fonts.googleapis.com,imasdk.googleapis.com,
,,s0.2mdn.net,,
,579CCEF312D18482FC42E2B822CA2430,adservice.google.com,pagead2.googlesyndication.com,
firefox,579CCEF312D18482FC42E2B822CA2430,content.aimatch.com,content.aimatch.com,
,579CCEF312D18482FC42E2B822CA2430,s1.adform.net,s1.adform.net,track.adform.net
,579CCEF312D18482FC42E2B822CA2430,track.adform.net,track.adform.net,
,,fonts.googleapis.com,,
firefox,579CCEF312D18482FC42E2B822CA2430,edge01.analytics.cpex.cz,analytics.cpex.cz,
,,sync-eu.connectad.io,,
,579CCEF312D18482FC42E2B822CA2430,csi.gstatic.com,csi.gstatic.com,
firefox,579CCEF312D18482FC42E2B822CA2430,optimized-by.rubiconproject.com,optimized-by.rubiconproject.com,*.rubiconproject.com
,,adservice.google.com,,
,02AA4679DF284F240695DA144B70C288,safebrowsing.googleapis.com,safebrowsing.googleapis.com,
,,i.connectad.io,,
,579CCEF312D18482FC42E2B822CA2430,sync.intentiq.com,sync.intentiq.com,
firefox,579CCEF312D18482FC42E2B822CA2430,code.createjs.com,code.createjs.com,tls.adobe.com
